divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
multiply,100,5
divide,50,10
add,10,20
subtract,20,30
